Index,product,category,sale_price,market_price,type,rating,discount_amount,discount_percentage,rating_bucket,price_segment
400,Expert Dried - Cranberries 200G + Prunes 200G + Apricots  200G + Blueberries 150G Edition,Gourmet & World Food,1280,1280,Dry Fruits & Berries,3.9,0,0,Good,High
401,New Generation Milly Magic Chocolate Balls - Gluten Free Line,Snacks & Branded Foods,485,485,Kids Cereal,4,0,0,Very Good,Medium
402,Artisan Millet Based Nutrition Bar - Classic Bundle,Gourmet & World Food,20,20,Cereal & Granola Bars,4,0,0,Very Good,Low
403,"Ultimate Bathroom Cleaner - Liquid, Hand Made Collection",Cleaning & Household,120,120,Toilet Cleaners,3.5,0,0,Good,Low
404,Pro Kodo Millet Rice - Pesticide Free Model,"Foodgrains, Oil & Masala",84.15,85,Cereals & Millets,4.1,0.85,1,Very Good,Low
405,Artisan Amla Juice Series,Beverages,220,220,Juices,3.9,0,0,Good,Medium
406,Signature Cheddar - English Edition,Gourmet & World Food,530,530,International Cheese,3.9,0,0,Good,High
407,Essential Power - Fresh Breath Fluoride Toothpaste 100 g + Sensitive Toothpaste 80 g Model,Beauty & Hygiene,203.99,240,Toothpaste,3.9,36.01,15,Good,Medium
408,"Ultimate Matcha Moringa Bar Bites - Mini, Gluten-free, Vegan Bundle",Gourmet & World Food,112.56,168,"Cookies, Biscotti, Wafer",3.9,55.44,33,Good,Low
409,Essential Sugar Free Juice - Lemon Ginger Squash Range,Beverages,330,330,Juices,3.9,0,0,Good,Medium
410,Advanced Wipeout Germ Killing Soap Bundle,Beauty & Hygiene,55.2,69,Hand Wash & Sanitizers,4,13.8,20,Very Good,Low
411,Artisan Jelly Crystal - Raspberry Edition,Gourmet & World Food,40.5,45,"Baking, Cake Decorations",4.4,4.5,10,Very Good,Low
412,Fusion Black Tea Series,Beverages,155,155,Tea Bags,4.3,0,0,Very Good,Medium
413,New Generation Grainy Delight Series,Gourmet & World Food,150,150,Roasted Seeds & Nuts,3.9,0,0,Good,Medium
414,"Artisan Kitchen Cleaning/Dusting Microfibre Cloth - Grey, G130060GR Bundle",Cleaning & Household,239.2,299,Dust Cloth & Wipes,4.3,59.8,20,Very Good,Medium
415,Pro Amla Churna Model,Beauty & Hygiene,80,80,Ayurveda,3.9,0,0,Good,Low
416,Essential Professional Herbal Orange Facial Massage Cream Bundle,Beauty & Hygiene,191.25,225,Body Care,3.9,33.75,15,Good,Medium
417,Artisan Eggless Mayonnaise Dip Premium Pack,Gourmet & World Food,119,149,Salad Dressings,3.9,30,20.13,Good,Low
418,Ultimate Nilgiri Green Tea - Yakuso Tulsi Range,Gourmet & World Food,525,750,Gourmet Tea & Tea Bags,3.9,225,30,Good,High
419,"Ultimate Peri Peri Sauce - Bird Eye Chili, Hot & Tangy Style",Gourmet & World Food,161.1,179,Thai & Asian Sauces,4.1,17.9,10,Very Good,Medium
420,"Essential Menstrual Cup - Wings, Pratham Model",Beauty & Hygiene,489,489,Tampons & Menstrual Cups,3.9,0,0,Good,Medium
421,New Generation Wonderz Milk Fruit N Milk - Mango Collection,"Bakery, Cakes & Dairy",29.75,35,"Flavoured, Soya Milk",4.1,5.25,15,Very Good,Low
422,Advanced Cow Ghee/Tuppa Range,"Foodgrains, Oil & Masala",432,540,Ghee & Vanaspati,3.4,108,20,Good,Medium
423,"Ultimate Organic - Black Cardamom Ealachi, Whole Style","Foodgrains, Oil & Masala",44,47,Organic Masalas & Spices,4,3,6.38,Very Good,Low
424,Advanced Ultimate Choco Berry Set,Snacks & Branded Foods,950,950,Granola & Cereal Bars,4.9,0,0,Excellent,High
425,Max Steel Belly Shape Storage Dabba/ Container Set With PP Lid - Silver & Blue Style,"Kitchen, Garden & Pets",219,995,Steel Storage Containers,3.8,776,77.99,Good,Medium
426,Fusion Kool - Koko Premium Pack,"Bakery, Cakes & Dairy",111,120,"Flavoured, Soya Milk",4.3,9,7.5,Very Good,Low
427,"Ultimate Apple Cider Vinegar - With Mother, Unfiltered & Unpasteurized Line",Gourmet & World Food,500,500,Balsamic & Cider Vinegar,5,0,0,Excellent,High
428,Advanced Dare Deodorant Spray - Men Line,Beauty & Hygiene,210,210,Men'S Deodorants,3.9,0,0,Good,Medium
429,Ultimate Svachh DLX Alpha Steel Outer Lid Pressure Cooker (20247) Model,"Kitchen, Garden & Pets",2060,2290,Pressure Cookers,3.3,0,0,Good,High
430,Fusion Hydrating Body Lotion Line,Beauty & Hygiene,349,349,Body Care,4,0,0,Very Good,Medium
431,Essential Nuts & Seeds Bar Range,Snacks & Branded Foods,36,40,Granola & Cereal Bars,3.8,4,10,Good,Low
432,"Expert Nacho Chips - Cheese With Herbs, No Onion, No Garlic Selection",Gourmet & World Food,46.9,70,Nachos & Chips,4.2,23.1,33,Very Good,Low
433,Signature Pistachio Bundle,Gourmet & World Food,307.2,480,Dry Fruits & Berries,3.9,172.8,36,Good,Medium
434,Ultimate 7 O Click - Permasharp Stainless Blade Edition,Beauty & Hygiene,21.56,22,Shaving Care,4.1,0.44,2,Very Good,Low
435,New Generation Classic Sandalwood & Tulsi Hand Wash Set,Beauty & Hygiene,209,209,Hand Wash & Sanitizers,3.8,0,0,Good,Medium
436,Pro Chai/Stainless Steel Cups - For The Love Of Tea Style,"Kitchen, Garden & Pets",395,395,"Cups, Mugs & Tumblers",3.9,0,0,Good,Medium
437,New Generation Brass Karpoor Arti - No.2 Series,Cleaning & Household,109,225,Other Pooja Needs,3.8,116,51.56,Good,Low
438,Expert Nikhaar Hair Removal Cream For All Skin Types Line,Beauty & Hygiene,82,82,Hair Removal,4.1,0,0,Very Good,Low
439,Pro Original Care Lip Balm For 24h Moisture With Shea Butter & Natural Oils Edition,Beauty & Hygiene,114.8,140,Lip Care,4.3,25.2,18,Very Good,Low
440,"Elite Plastic Insulated Jr Casserole For Roti/Chapati Gift Set - White, Regalia Set","Kitchen, Garden & Pets",739,910,Casserole,3.5,171,18.79,Good,High
441,New Generation Sunspray Sunscreen SPF 30 Model,Beauty & Hygiene,292.5,450,Face Care,3.9,157.5,35,Good,Medium
442,Expert Vastu Combo Pack - Floor Cleaner + toilet cleaner Line,Cleaning & Household,319,319,Floor & Other Cleaners,3.6,0,0,Good,Medium
443,"Fusion Water Flask - Insulated Thermosteel, Flip Lid , Silver Premium Pack","Kitchen, Garden & Pets",879,1095,Vacuum Flask,4.2,0,0,Very Good,High
444,Artisan Drumstick - Organically Grown Model,Fruits & Vegetables,13,16.25,Organic Vegetables,3.9,3.25,20,Good,Low
445,Advanced Up Or Down Eau De Toilette Deodorant - For Man Premium Pack,Beauty & Hygiene,223.2,279,Men'S Deodorants,3.9,55.8,20,Good,Medium
446,"Signature Ultra Healing - Extra Dry Skin Moisturiser With Vitamin C, E & B5 Collection",Beauty & Hygiene,296.1,329,Body Care,2,32.9,10,Average,Medium
447,"Essential Organic, Fennel /Saunf/Sompu Powder Selection","Foodgrains, Oil & Masala",23,25,Organic Masalas & Spices,4.1,2,8,Very Good,Low
448,Artisan Coconut Braker - Big Collection,"Kitchen, Garden & Pets",129,169,Kitchen Tools & Other Accessories,3,40,23.67,Good,Low
449,Elite Truffel - Caramel Range,Snacks & Branded Foods,190,200,Chocolates,3.7,10,5,Good,Medium
450,Pro Conditioner - Hair Repair Style,Beauty & Hygiene,161,161,Shampoo & Conditioner,3.9,0,0,Good,Medium
451,"Artisan Stainless Steel Water Bottle - Blue, BB506 3 Selection","Kitchen, Garden & Pets",249,470,Water & Fridge Bottles,3.9,221,47.02,Good,Medium
452,New Generation Mischief Avatar Deodorant & Body Spray Perfume For Men Style,Beauty & Hygiene,121,199,Men'S Deodorants,3.8,78,39.2,Good,Low
453,Expert Skin Fruits Fruit Moisturising Body Lotion Selection,Beauty & Hygiene,68.85,81,Body Care,4.1,12.15,15,Very Good,Low
454,Max Multipurpose Germ Protection Anti-Bacterial Wipes With Lemon Fragrance Model,Cleaning & Household,100,100,Disinfectant Spray & Cleaners,3.9,0,0,Good,Low
455,Elite Basmati Rice/Basmati Akki - Rozana Super 90 Bundle,"Foodgrains, Oil & Masala",340,390,Basmati Rice,3.9,50,12.82,Good,Medium
456,Expert Milk power Frappe Milkshake - Belgian Chocolate Edition,"Bakery, Cakes & Dairy",27,30,"Flavoured, Soya Milk",4.2,3,10,Very Good,Low
457,"Pro Peanut Butter - Unsweetened, Crunchy Series",Snacks & Branded Foods,275,275,Choco & Nut Spread,3.8,0,0,Good,Medium
458,Ultimate Salem Turmeric Powder/Arisina Pudi Series,"Foodgrains, Oil & Masala",24.75,33,Powdered Spices,4.4,8.25,25,Very Good,Low
459,New Generation Body Fragrance - Alexander Model,Beauty & Hygiene,149.25,199,Men'S Deodorants,4.3,49.75,25,Very Good,Low
460,"Essential Steel Storage/Lunch Container- No.1, Blue, Klip It Style","Kitchen, Garden & Pets",79,119,Steel Storage Containers,3.1,40,33.61,Good,Low
461,Ultimate Ladies Finger Collection,Fruits & Vegetables,26.73,35,"Beans, Brinjals & Okra",3.9,8.27,23.63,Good,Low
462,Fusion Aloe Vera Juice - Purifies Blood & Boosts Immunity Model,Gourmet & World Food,220,220,Health Drinks,1,0,0,Poor,Medium
463,"Fusion Balloon - Polka Dot, 12 Inch Bundle",Cleaning & Household,99,129,"Caps, Balloons & Candles",3.9,30,23.26,Good,Low
464,Essential School/Stationery Kit Line,Cleaning & Household,49,49,"Pen, Pencils",4.1,0,0,Very Good,Low
465,Advanced Face Wash - White Tea & Chamomile Style,Beauty & Hygiene,129.5,185,Face Care,4.2,55.5,30,Very Good,Low
466,Advanced Bathroom Cleaner Premium Pack,Cleaning & Household,209.3,299,Toilet Cleaners,4,89.7,30,Very Good,Medium
467,Fusion Imperial Desert Set - Aqua Leaves Premium Pack,"Kitchen, Garden & Pets",419,625,Plates & Bowls,2.8,206,32.96,Average,Medium
468,Essential Solitaire Storage Transparent Pet Container Set - Green Lid Model,"Kitchen, Garden & Pets",409,969,Containers Sets,4.2,560,57.79,Very Good,Medium
469,Advanced Organic Cold Pressed Virgin Coconut Oil Set,Gourmet & World Food,239,365,Organic & Cold Press Oil,4.4,126,34.52,Very Good,Medium
470,New Generation DiaFree Juice Premium Pack,Beverages,420,420,Juices,3.9,0,0,Good,Medium
471,Expert Hand Wash Rose & Geranium - Anti Bacterial Set,Beauty & Hygiene,349,349,Hand Wash & Sanitizers,5,0,0,Excellent,Medium
472,Expert Namkeen - Flattend Rice Mixture Set,Snacks & Branded Foods,38,38,Namkeen & Savoury Snacks,4,0,0,Very Good,Low
473,Expert Borosilicate Glass Rectangular Food Container With Green Lid Model,"Kitchen, Garden & Pets",209,339,Containers Sets,3.9,130,38.35,Good,Medium
474,Pro Black Naturals Range,Beauty & Hygiene,37,39,Hair Color,4.2,2,5.13,Very Good,Low
475,Fusion Sorghum Rava/ Semolina Bundle,Gourmet & World Food,80,80,Flours & Pre-Mixes,4.4,0,0,Very Good,Low
476,Expert Sensitive Toothpaste - Fresh Mint Model,Beauty & Hygiene,215.6,230,Toothpaste,4.3,14.4,6.26,Very Good,Medium
477,New Generation Floor Cleaner - Lime Line,Cleaning & Household,70,70,Floor & Other Cleaners,3.8,0,0,Good,Low
478,Advanced Hair Serum - Anti-Dandruff Edition,Beauty & Hygiene,637.5,750,Hair Oil & Serum,1,112.5,15,Poor,High
479,"Elite Face Mask 3-Layer Surgical - Disposable, Anti-Dust & Anti-Pollution, With Earloop Premium Pack",Beauty & Hygiene,79,99,Face Masks & Safety Gears,3.5,20,20.2,Good,Low
480,Pro Veda Keto-Slim Ultra Weight Loss Set,Beauty & Hygiene,1699,1699,Ayurveda,3.9,0,0,Good,High
481,"Fusion Basmati Rice Mini Mogra, Broken/Tukda 5 Kg + Wheat Flour (Chakki Atta) 10 Kg Premium Pack","Foodgrains, Oil & Masala",575,745,Basmati Rice,3.9,170,22.82,Good,High
482,New Generation Tapioca Style,Fruits & Vegetables,17,21.25,Root Vegetables,3.9,4.25,20,Good,Low
483,Ultimate Organic - Kalonji Edition,"Foodgrains, Oil & Masala",47.5,50,Organic Masalas & Spices,4.2,2.5,5,Very Good,Low
484,Expert Savoury - Pizza Line,Gourmet & World Food,190,190,"Healthy, Baked Snacks",3.9,0,0,Good,Medium
485,Expert Water/Juice Glass Tumbler - Volvic 3303 Range,"Kitchen, Garden & Pets",425,425,Glassware,3.9,0,0,Good,Medium
486,Elite Red Poha Selection,"Foodgrains, Oil & Masala",80,80,"Organic Rice, Other Rice",4,0,0,Very Good,Low
487,Expert Brightening Serum Edition,Beauty & Hygiene,942,1450,Face Care,4,0,0,Very Good,High
488,Essential Ivory Glass Bottle - Orange & Yellow Floral Series,"Kitchen, Garden & Pets",190,190,Water & Fridge Bottles,3.9,0,0,Good,Medium
489,Artisan Sheer Perfume For Women - EDP Premium Pack,Beauty & Hygiene,1435.5,1595,Eau De Parfum,4.4,0,0,Very Good,High
490,Signature Dog Treats - Diced Chicken Collection,"Kitchen, Garden & Pets",195,195,Pet Meals & Treats,3.9,0,0,Good,Medium
491,New Generation Baking Powder - Double Acting Style,Gourmet & World Food,145,145,"Baking, Cake Decorations",5,0,0,Excellent,Low
492,"Signature Ready Mix - Kheer, Vermicelli Collection",Snacks & Branded Foods,53,60,Dessert Mixes,4.3,7,11.67,Very Good,Low
493,Pro Scrubbing Broom Brush - Outdoor Style,Cleaning & Household,256.5,285,Toilet & Other Brushes,4.5,28.5,10,Excellent,Medium
494,Max Organic Wheat Dalia Set,"Foodgrains, Oil & Masala",52.25,55,Organic Flours,4.1,2.75,5,Very Good,Low
495,Signature Moisturizing Body Bath - Green Tea & Milk Model,Beauty & Hygiene,279,279,Shower Gel & Body Wash,3.9,0,0,Good,Medium
496,Essential The Original Kashaya - Caffeine Free Series,Gourmet & World Food,279,279,Health Drinks,4.8,0,0,Excellent,Medium
497,Expert Nizami Hyderabadi Cuisine Series,Gourmet & World Food,395,395,"Curry Paste, Coconut Milk",3.9,0,0,Good,Medium
498,Fusion Elegance Deodorizing Talc - For Men Edition,Beauty & Hygiene,157.25,185,Talc,4.4,27.75,15,Very Good,Medium
499,"Essential LED Bulb - 10 Watt CDL Round Base Lyor 5 Star Series, Cool Day Light White, B22 Collection","Kitchen, Garden & Pets",149,285,Cfl & Led Bulbs,3.9,136,47.72,Good,Low
500,Max Organic Rasam Ready Mix - Long Pepper Premium Pack,Snacks & Branded Foods,85,85,Breakfast & Snack Mixes,4.2,0,0,Very Good,Low
501,Fusion Gold Caramel Candy Style,Snacks & Branded Foods,50,50,"Toffee, Candy & Lollypop",4.3,0,0,Very Good,Low
502,Ultimate Masala - Birayani Pulao Selection,"Foodgrains, Oil & Masala",80,80,Blended Masalas,4.2,0,0,Very Good,Low
503,Essential Hair Fall Control Oil Collection,Beauty & Hygiene,145,290,Hair Oil & Serum,4,145,50,Very Good,Low
504,Essential Bio Renew White Strawberry & Sweet Mint Conditioner Line,Beauty & Hygiene,468,650,Shampoo & Conditioner,4.4,182,28,Very Good,Medium
505,"Ultimate Comfort Bathroom Stool Plastic/Patla - Plain, Big, Assorted Collection",Cleaning & Household,259,426,"Bath Stool, Basin & Sets",3.4,167,39.2,Good,Medium
506,Artisan Bounce Biscuits - Elaichi Creme Set,Snacks & Branded Foods,27,30,Cream Biscuits & Wafers,4.1,3,10,Very Good,Low
507,"New Generation Pumice Stone & Emery Foot Filer - FFL3407, Colour May Vary Collection",Beauty & Hygiene,175,175,Bathing Accessories,3.8,0,0,Good,Medium
508,Fusion Olive Oil - Classic Line,Gourmet & World Food,589,1350,"Pure, Pomace Olive Oil",3.9,0,0,Good,High
509,Artisan Light Soy Sauce - Reduced Salt Selection,Gourmet & World Food,346.5,385,Thai & Asian Sauces,3.9,38.5,10,Good,Medium
510,"Essential Kitchen Cleaning/Dusting Microfibre Cloth - Red & Grey, G130064RG Edition",Cleaning & Household,219,258,Dust Cloth & Wipes,4,39,15.12,Very Good,Medium
511,Artisan Painting Kit Premium Pack,Cleaning & Household,196,199,Colours & Crayons,4.7,3,1.51,Excellent,Medium
512,Advanced Diamond Skin Brightening Kit - Consumer Pack Set,Beauty & Hygiene,150,250,Face Care,4,100,40,Very Good,Medium
513,Artisan Organic - Turmeric Powder/Arisina Pudi Collection,"Foodgrains, Oil & Masala",32,40,Organic Masalas & Spices,4.7,8,20,Excellent,Low
514,Max Natural Neem Agarbatti Premium Pack,Cleaning & Household,180,180,Mosquito Repellent,3,0,0,Good,Medium
515,Ultimate Raspberry Strawberry Preserve Collection,Gourmet & World Food,349,349,"Jams, Marmalade, Spreads",3.5,0,0,Good,Medium
516,Essential Meghdoot Honey Almond Body Lotion Set,Beauty & Hygiene,195,195,Body Care,3.9,0,0,Good,Medium
517,Pro Hajmola Maha Candy - Aam+Imli Style,Beauty & Hygiene,117,130,Supplements & Proteins,4.4,13,10,Very Good,Low
518,Fusion Rice Bran Oil Edition,"Foodgrains, Oil & Masala",173,215,"Sunflower, Rice Bran Oil",4.1,42,19.53,Very Good,Medium
519,"Signature N95 Washable Face Mask - Blue, Medium Collection",Beauty & Hygiene,299,395,Face Masks & Safety Gears,3.8,96,24.3,Good,Medium
520,Essential Coriander Powder Collection,"Foodgrains, Oil & Masala",24,24,Powdered Spices,4.2,0,0,Very Good,Low
521,Ultimate Dressing - Creamy Caesar Edition,Gourmet & World Food,270,270,Salad Dressings,3.9,0,0,Good,Medium
522,Essential Shishu Taila - For Healthy Skin & Stronger Bones Edition,Beauty & Hygiene,200,200,Ayurveda,3.9,0,0,Good,Medium
523,Artisan Chocolate Flavoured Lubes Edition,Beauty & Hygiene,300,300,Sexual Wellness,2.3,0,0,Average,Medium
524,New Generation Free Range Eggs - Omega 3 Series,"Eggs, Meat & Fish",150,150,Farm Eggs,3.9,0,0,Good,Medium
525,Pro Whiteglow Skin Whitening & Brightening Gel Creme PA+++ - SPF 25 Series,Beauty & Hygiene,292.5,390,Face Care,4.3,97.5,25,Very Good,Medium
526,Advanced Premium Californian Roasted & Salted Pistachios - Value Pack Set,Gourmet & World Food,656.25,875,Dry Fruits & Berries,3.9,218.75,25,Good,High
527,Fusion Active Baby Medium (6-11 kg) - 62 Diapers Series,Baby Care,1077.02,1099,Diapers,4.4,0,0,Very Good,High
528,Elite Nutrition & Health Drink - Pista Badam Collection,Beverages,315,315,Kids (5+Yrs),4.4,0,0,Very Good,Medium
529,Fusion Chocolate Biscuits - Cream 4 Fun Model,Snacks & Branded Foods,25,30,Cream Biscuits & Wafers,4,5,16.67,Very Good,Low
530,Ultimate Oat Krunch - Dark Chocolate Selection,Gourmet & World Food,125,125,"Cookies, Biscotti, Wafer",5,0,0,Excellent,Low
531,Expert Soft & Fresh Soap Bar Series,Beauty & Hygiene,72,72,Bathing Bars & Soaps,4.4,0,0,Very Good,Low
532,Ultimate Oxygen Moisture Shampoo Set,Beauty & Hygiene,466.2,630,Shampoo & Conditioner,4.2,163.8,26,Very Good,Medium
533,"Elite Almond Milk - Unsweetened, Lactose-Free, Plant-Based Milk Alternative Set",Gourmet & World Food,237.5,250,Milk & Soya Drinks,4.2,12.5,5,Very Good,Medium
534,Ultimate Herbal Vedaprash Immunity Booster Bundle,Beauty & Hygiene,649,649,Ayurveda,3.9,0,0,Good,High
535,"Artisan Table Ring - Trivet Round, Dia-13 cm Series","Kitchen, Garden & Pets",45,59,Kitchen Tools & Other Accessories,3.7,14,23.73,Good,Low
536,Advanced Premium International Healthy Nutmix - Value Pack Selection,Gourmet & World Food,401.33,599,Dry Fruits & Berries,3.9,197.67,33,Good,Medium
537,Expert Non Scratch Sponge Style,Cleaning & Household,57,70,"Utensil Scrub-Pad, Glove",4.3,13,18.57,Very Good,Low
538,Pro Premium Care XXXL - 23 Diaper Pants Series,Baby Care,850.26,1149,Diapers,3.8,0,0,Good,High
539,Signature Drumstick - Organically Grown Series,Fruits & Vegetables,13,16.25,Organic Vegetables,3.9,3.25,20,Good,Low
540,Essential Moisturzing Cream - Intense Model,Beauty & Hygiene,175,350,Face Care,3.9,175,50,Good,Medium
541,Max Shikakai - Amla and Bhringraj Model,Beauty & Hygiene,20.9,22,Bathing Bars & Soaps,4.2,1.1,5,Very Good,Low
542,Pro Amritsari Chhole Masala Selection,"Foodgrains, Oil & Masala",40.95,63,Blended Masalas,4.1,22.05,35,Very Good,Low
543,Advanced Meswak Toothpaste Selection,Beauty & Hygiene,426.3,525,Toothpaste,4.3,98.7,18.8,Very Good,Medium
544,Essential Tofu Supreme - Regular Selection,"Bakery, Cakes & Dairy",108,120,"Paneer, Tofu & Cream",2.8,12,10,Average,Low
545,Pro Honey Sunflower Premium Pack,Gourmet & World Food,110.5,130,Roasted Seeds & Nuts,4.7,19.5,15,Excellent,Low
546,Signature Premium Raw Organic Authentic Flaxseeds Line,Gourmet & World Food,59.4,99,Roasted Seeds & Nuts,4.5,39.6,40,Excellent,Low
547,Advanced Ultra Protect Spray Range,Beauty & Hygiene,340,400,Hand Wash & Sanitizers,3.5,60,15,Good,Medium
548,Max Chia Mango Mint Jam Collection,Gourmet & World Food,126,140,"Jams, Marmalade, Spreads",3.5,14,10,Good,Low
549,New Generation Asafoetida - Powder Line,"Foodgrains, Oil & Masala",90.25,95,Powdered Spices,4.3,4.75,5,Very Good,Low
550,"Advanced Pure Maple Syrup - Product Of Canada, Grade A, Robust Taste Collection",Gourmet & World Food,900,1000,Honey & Maple Syrup,4.7,0,0,Excellent,High
551,Max Flucon Tablets - Fights Allergy Naturally Set,Beauty & Hygiene,110,110,Ayurveda,3.9,0,0,Good,Low
552,Signature Tagara (Valerian) - Tablets Model,Beauty & Hygiene,145.2,165,Supplements & Proteins,4.8,19.8,12,Excellent,Low
553,Essential Masala - Pav Bhaji Premium Pack,"Foodgrains, Oil & Masala",66,66,Blended Masalas,4.1,0,0,Very Good,Low
554,Signature Cereal Flip Lid Container/Storage Jar - Assorted Colour Premium Pack,Cleaning & Household,79,107,"Laundry, Storage Baskets",4.6,28,26.17,Excellent,Low
555,Elite Greek Yogurt Smoothie - Strawberry Collection,Gourmet & World Food,49,70,Milk & Soya Drinks,4,21,30,Very Good,Low
556,Artisan Marvel Spiderman Metal Kids Pencil Box Model,Cleaning & Household,149,149,Exam Pads & Pencil Box,3,0,0,Good,Low
557,New Generation Jeera Nibbles Set,Snacks & Branded Foods,39,50,Salted Biscuits,4.1,11,22,Very Good,Low
558,Essential Pure Aloe Vera Gel Set,Beauty & Hygiene,107,150,Body Care,3.7,43,28.67,Good,Low
559,New Generation Organic Quinoa Power Rice Cake Selection,Gourmet & World Food,126.65,149,"Healthy, Baked Snacks",3.9,22.35,15,Good,Low
560,Artisan Hair Styling Gel - High Hold With Wet Looks Set,Beauty & Hygiene,299,299,Hair Care & Styling,3.9,0,0,Good,Medium
561,Essential Brazil - Single Origin Dark Chocolate Premium Pack,Gourmet & World Food,320,320,"Luxury Chocolates, Gifts",5,0,0,Excellent,Medium
562,Expert Sesame Chikki Range,Snacks & Branded Foods,300,300,Chikki & Gajjak,4,0,0,Very Good,Medium
563,Expert Jerk Sauce Edition,Snacks & Branded Foods,160,200,Chilli & Soya Sauce,5,40,20,Excellent,Medium
564,Artisan Organic Elicoidali Pasta Collection,Gourmet & World Food,396,495,Pastas & Spaghetti,5,99,20,Excellent,Medium
565,Pro Elegant Fruit Center Filled Choco Assortment Style,Gourmet & World Food,267.75,315,"Marshmallow, Candy, Jelly",5,47.25,15,Excellent,Medium
566,"Pro Basting Brush Kitchen Oil Cooking Tool - Silicon Plastic, Pink/Peach Assorted, BB1166 Bundle","Kitchen, Garden & Pets",139,189,Baking Tools & Brushes,4.4,50,26.46,Very Good,Low
567,Fusion Baby Powder With Fragrance Line,Baby Care,99,99,Baby Powder,3.8,0,0,Good,Low
568,Expert Supple Bounce Body Lotion Selection,Beauty & Hygiene,105.6,110,Body Care,4.5,4.4,4,Excellent,Low
569,Fusion Glass Serving Mixing Bowl Edition,"Kitchen, Garden & Pets",169,299,Glassware,2.8,130,43.48,Average,Medium
570,New Generation Tawa Pav Bhaji Masala Set,"Foodgrains, Oil & Masala",39.6,66,Blended Masalas,4,26.4,40,Very Good,Low
571,"Ultimate Bathing Bar Soap - Germ Protection, Original Collection",Beauty & Hygiene,335.81,440,Bathing Bars & Soaps,4.3,104.19,23.68,Very Good,Medium
572,Fusion Nylon Rope Bundle,Cleaning & Household,80,80,Other Plastic Ware,4.2,0,0,Very Good,Low
573,Elite Cleaner - Jewelery Series,Cleaning & Household,575,575,Floor & Other Cleaners,3.9,0,0,Good,High
574,Elite Tasty Ragi Chivda Model,Gourmet & World Food,99,99,"Healthy, Baked Snacks",3.9,0,0,Good,Low
575,Ultimate Crunchy & Creame Wafer Biscuit - Vanilla Model,Gourmet & World Food,89.1,99,"Cookies, Biscotti, Wafer",3.3,9.9,10,Good,Low
576,Essential Fevicryl - Pearl Kit Style,Cleaning & Household,108,110,Colours & Crayons,4.2,2,1.82,Very Good,Low
577,"Expert Deluxe Granite Non-Stick Omni Tawa, 250 mm (36301) Edition","Kitchen, Garden & Pets",870,1020,Tawa & Sauce Pan,3.5,0,0,Good,High
578,"New Generation Granola - Choco, Almond & Cookies Style",Snacks & Branded Foods,245,265,Granola & Cereal Bars,3.9,20,7.55,Good,Medium
579,Ultimate Peanut Brittle - With Jaggery Range,Gourmet & World Food,119,199,"Luxury Chocolates, Gifts",3.9,80,40.2,Good,Low
580,Elite For Man Eau De Toilette Premium Pack,Beauty & Hygiene,2415,3450,Eau De Toilette,2,0,0,Average,High
581,"Advanced Novawhite Glutathione & Vitamin C Cream - For Men & Women, Suitable For all Skin Types Line",Beauty & Hygiene,675,675,Face Care,3.9,0,0,Good,High
582,"Ultimate Klick Lead - 10HB, 10 Leads Range",Cleaning & Household,98,100,"Pen, Pencils",3.9,2,2,Good,Low
583,Elite Bhumyalakki Tablets Line,Beauty & Hygiene,120,120,Ayurveda,3.9,0,0,Good,Low
584,Elite Juice/Milk Mugs Collection,"Kitchen, Garden & Pets",229,280,Glassware,3,51,18.21,Good,Medium
585,Advanced Pizza Topping Line,Gourmet & World Food,139,189,"Olive, Jalapeno, Gherkin",3.9,50,26.46,Good,Low
586,Artisan Shaving Foam Range,Beauty & Hygiene,68,85,Shaving Care,2.5,17,20,Average,Low
587,Advanced Mix - Rava Dosai Line,Snacks & Branded Foods,60,60,Breakfast & Snack Mixes,4.3,0,0,Very Good,Low
588,Essential Aloe Vera - Organically grown Model,Fruits & Vegetables,40,50,Organic Vegetables,3.9,10,20,Good,Low
589,"Pro Green Tea - Mint, Good morning Selection",Beverages,75,150,Green Tea,4.5,75,50,Excellent,Low
590,Essential Bathing Soap - Cucumber & Coconut Series,Beauty & Hygiene,99.36,120,Bathing Bars & Soaps,4.2,20.64,17.2,Very Good,Low
591,Essential Imitation - Crab Sticks Style,"Eggs, Meat & Fish",195,195,Frozen Fish & Seafood,3.9,0,0,Good,Medium
592,New Generation Shot Body Spray - Royal Jade Range,Beauty & Hygiene,165.75,195,Men'S Deodorants,4.5,29.25,15,Excellent,Medium
593,Ultimate Camne Vid Collection,Beauty & Hygiene,572,572,Ayurveda,3.9,0,0,Good,High
594,Pro Madrid - Dessert Spoons Model,"Kitchen, Garden & Pets",359,510,"Cutlery, Spoon & Fork",5,151,29.61,Excellent,Medium
595,Elite Raw Chia Basil Seeds Collection,Gourmet & World Food,450,450,"Healthy, Baked Snacks",3.9,0,0,Good,Medium
596,Fusion Jalapeno Pasta Sauce 385 g + Sriracha Chilli Sauce 185 g + Hot Sauce 75 ml Range,Snacks & Branded Foods,475.2,528,Chilli & Soya Sauce,3.9,52.8,10,Good,Medium
597,"Elite Shot Body Spray - Gold, Passion Set",Beauty & Hygiene,175.5,195,Body Sprays & Mists,4.3,19.5,10,Very Good,Medium
